"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling
"The Hobbit, or There and Back Again (Paperback)",J.R.R. Tolkien
"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling
"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling
"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling
"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling
"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling
"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin
"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien
"A Clash of Kings  (A Song of Ice and Fire, #2)",George R.R. Martin
"The Two Towers (The Lord of the Rings, #2)",J.R.R. Tolkien
"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss
"The Return of the King (The Lord of the Rings, #3)",J.R.R. Tolkien
"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin
"A Feast for Crows (A Song of Ice and Fire, #4)",George R.R. Martin
"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis
"The Golden Compass (His Dark Materials, #1)",Philip Pullman
Eragon (The Inheritance Cycle #1),Christopher Paolini
"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin
"The Final Empire (Mistborn, #1)",Brandon Sanderson
"American Gods (American Gods, #1)",Neil Gaiman
"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan
"City of Bones (The Mortal Instruments, #1)",Cassandra Clare
"Twilight (Twilight, #1)",Stephenie Meyer
Stardust (Paperback),Neil Gaiman
"The Eye of the World (The Wheel of Time, #1)",Robert Jordan
"Neverwhere (London Below, #1)",Neil Gaiman
"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch (Mass Market Paperback)",Terry Pratchett
"The Lord of the Rings (The Lord of the Rings, #1-3)",J.R.R. Tolkien
"The Wise Man's Fear (The Kingkiller Chronicle, #2)",Patrick Rothfuss
"Throne of Glass (Throne of Glass, #1)",Sarah J. Maas
The Night Circus (Hardcover),Erin Morgenstern
The Ocean at the End of the Lane (Hardcover),Neil Gaiman
"Graceling (Graceling Realm, #1)",Kristin Cashore
The Princess Bride (Paperback),William Goldman
"Six of Crows (Six of Crows, #1)",Leigh Bardugo
"The Color of Magic (Discworld, #1; Rincewind, #1)",Terry Pratchett
"Harry Potter and the Cursed Child: Parts One and Two (Harry Potter, #8)",John Tiffany
"The Lies of Locke Lamora (Gentleman Bastard, #1)",Scott Lynch
"The Subtle Knife  (His Dark Materials, #2)",Philip Pullman
"A Darker Shade of Magic (Shades of Magic, #1)",V.E. Schwab
"Assassin's Apprentice (Farseer Trilogy, #1)",Robin Hobb
"The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson
"Shadow and Bone (The Shadow and Bone Trilogy, #1)",Leigh Bardugo
"The Well of Ascension (Mistborn, #2)",Brandon Sanderson
"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",Sarah J. Maas
"The Sea of Monsters (Percy Jackson and the Olympians, #2)",Rick Riordan
The Silmarillion (Hardcover),J.R.R. Tolkien
Uprooted (Hardcover),Naomi Novik
