authors,average_rating,book_id,description,e_book,goodreads_book_id,is_ebook,isbn,language_code,num_pages,original_publication_year,original_title,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,ratings_count,title
Suzanne Collins,4.34,1.0,,False,2767052,,,eng,0,2008.0,,66715.0,127936.0,560092.0,1481305.0,2706317.0,4780653,"The Hunger Games (The Hunger Games, #1)"
"J.K. Rowling, Mary GrandPré",4.44,2.0,"Alternate cover edition of ISBN 9780439554930<br /><br />Harry Potter's life is miserable. His parents are dead and he's stuck with his heartless relatives, who force him to live in a tiny closet under the stairs. But his fortune changes when he receives a letter that tells him the truth about himself: he's a wizard. A mysterious visitor rescues him from his relatives and takes him to his new home, Hogwarts School of Witchcraft and Wizardry.<br /><br />After a lifetime of bottling up his magical powers, Harry finally feels like a normal kid. But even within the Wizarding community, he is special. He is the boy who lived: the only person to have ever survived a killing curse inflicted by the evil Lord Voldemort, who launched a brutal takeover of the Wizarding world, only to vanish after failing to kill Harry.<br /><br />Though Harry's first year at Hogwarts is the best of his life, not everything is perfect. There is a dangerous secret object hidden within the castle walls, and Harry believes it's his responsibility to prevent it from falling into evil hands. But doing so will bring him into contact with forces more terrifying than he ever could have imagined.<br /><br />Full of sympathetic characters, wildly imaginative situations, and countless exciting details, the first installment in the series assembles an unforgettable magical world and sets the stage for many high-stakes adventures to come.",False,3,False,,eng,309,1997.0,,75504.0,101676.0,455024.0,1156318.0,3011543.0,4602479,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)"
Stephenie Meyer,3.57,3.0,,False,41865,,,en-US,0,2005.0,,456191.0,436802.0,793319.0,875073.0,1355439.0,3866839,"Twilight (Twilight, #1)"
Harper Lee,4.25,4.0,,False,2657,,,eng,0,1960.0,,60427.0,117415.0,446835.0,1001952.0,1714267.0,3198671,To Kill a Mockingbird
F. Scott Fitzgerald,3.89,5.0,,False,4671,,,eng,0,1925.0,,86236.0,197621.0,606158.0,936012.0,947718.0,2683664,The Great Gatsby
John Green,4.26,6.0,,False,11870085,,,eng,0,2012.0,,47994.0,92723.0,327550.0,698471.0,1311871.0,2346404,The Fault in Our Stars
J.R.R. Tolkien,4.25,7.0,,False,5907,,,en-US,0,1937.0,,46023.0,76784.0,288649.0,665635.0,1119718.0,2071616,The Hobbit
J.D. Salinger,3.79,8.0,,False,5107,,,eng,0,1951.0,,109383.0,185520.0,455042.0,661516.0,709176.0,2044241,The Catcher in the Rye
Dan Brown,3.85,9.0,,False,960,,,en-CA,0,2000.0,,77841.0,145740.0,458429.0,716569.0,680175.0,2001311,"Angels & Demons  (Robert Langdon, #1)"
Jane Austen,4.24,10.0,,False,1885,,,eng,0,1813.0,,54700.0,86485.0,284852.0,609755.0,1155673.0,2035490,Pride and Prejudice
Khaled Hosseini,4.26,11.0,,False,77203,,,eng,0,2003.0,,34288.0,59980.0,226062.0,628174.0,929591.0,1813044,The Kite Runner
Veronica Roth,4.24,12.0,,False,13335037,,,eng,0,2011.0,,36315.0,82870.0,310297.0,673028.0,1114304.0,1903563,"Divergent (Divergent, #1)"
"George Orwell, Erich Fromm, Celâl Üster",4.14,13.0,,False,5470,,,eng,0,1949.0,,41845.0,86425.0,324874.0,692021.0,908229.0,1956832,1984
George Orwell,3.87,14.0,,False,7613,,,eng,0,1945.0,,66854.0,135147.0,433432.0,698642.0,648912.0,1881700,Animal Farm
"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",4.1,15.0,,False,48855,,,eng,0,1947.0,,45225.0,91270.0,355756.0,656870.0,875372.0,1972666,The Diary of a Young Girl
"Stieg Larsson, Reg Keeland",4.11,16.0,,False,2429135,,,eng,0,2005.0,,54835.0,86051.0,285413.0,667485.0,836050.0,1808403,"The Girl with the Dragon Tattoo (Millennium, #1)"
Suzanne Collins,4.3,17.0,,False,6148028,,,eng,0,2009.0,,10492.0,48030.0,262010.0,687238.0,980309.0,1831039,"Catching Fire (The Hunger Games, #2)"
"J.K. Rowling, Mary GrandPré, Rufus Beck",4.53,18.0,,False,5,,,eng,0,1999.0,,6716.0,20413.0,166129.0,509447.0,1266670.0,1832823,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)"
J.R.R. Tolkien,4.34,19.0,,False,34,,,eng,0,1954.0,,38031.0,55862.0,202332.0,493922.0,1042394.0,1766803,"The Fellowship of the Ring (The Lord of the Rings, #1)"
Suzanne Collins,4.03,20.0,,False,7260188,,,eng,0,2010.0,,30144.0,110498.0,373060.0,618271.0,738775.0,1719760,"Mockingjay (The Hunger Games, #3)"
"J.K. Rowling, Mary GrandPré",4.46,21.0,,False,2,,,eng,0,2003.0,,9528.0,31577.0,180210.0,494427.0,1124806.0,1735368,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)"
Alice Sebold,3.77,22.0,,False,12232938,,,eng,0,2002.0,,62777.0,131188.0,404699.0,583575.0,479323.0,1605173,The Lovely Bones
"J.K. Rowling, Mary GrandPré",4.37,23.0,,False,15881,,,eng,0,1998.0,,8253.0,42251.0,242345.0,548266.0,1065084.0,1779331,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)"
"J.K. Rowling, Mary GrandPré",4.53,24.0,,False,6,,,eng,0,2000.0,,6676.0,20210.0,151785.0,494926.0,1195045.0,1753043,"Harry Potter and the Goblet of Fire (Harry Potter, #4)"
"J.K. Rowling, Mary GrandPré",4.61,25.0,,False,136251,,,eng,0,2007.0,,9363.0,22245.0,113646.0,383914.0,1318227.0,1746574,"Harry Potter and the Deathly Hallows (Harry Potter, #7)"
Dan Brown,3.79,26.0,,False,968,,,eng,0,2003.0,,71345.0,126493.0,340790.0,539277.0,479387.0,1447148,"The Da Vinci Code (Robert Langdon, #2)"
"J.K. Rowling, Mary GrandPré",4.54,27.0,,False,1,,,eng,0,2005.0,,7308.0,21516.0,136333.0,459028.0,1161491.0,1678823,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)"
William Golding,3.64,28.0,,False,7624,,,eng,0,1954.0,,92779.0,160295.0,425648.0,564916.0,427846.0,1605019,Lord of the Flies
"William Shakespeare, Robert           Jackson",3.73,29.0,,False,18135,,,eng,0,1595.0,,57980.0,153179.0,452673.0,519822.0,489235.0,1628519,Romeo and Juliet
Gillian Flynn,4.03,30.0,,False,8442457,,,eng,0,2012.0,,38874.0,80807.0,280331.0,616031.0,610476.0,512475,Gone Girl
Kathryn Stockett,4.45,31.0,,False,4667024,,,eng,0,2009.0,,10235.0,25117.0,134887.0,490754.0,942552.0,1531753,The Help
John Steinbeck,3.84,32.0,,False,890,,,eng,0,1937.0,,46630.0,110856.0,355169.0,532291.0,473795.0,1467496,Of Mice and Men
Arthur Golden,4.08,33.0,,False,930,,,eng,0,1997.0,,23500.0,59033.0,258700.0,517157.0,559782.0,1300209,Memoirs of a Geisha
E.L. James,3.67,34.0,,False,10818853,,,eng,0,2011.0,,165455.0,152293.0,252185.0,294976.0,571909.0,1338493,"Fifty Shades of Grey (Fifty Shades, #1)"
"Paulo Coelho, Alan R. Clarke",3.82,35.0,,False,865,,,eng,0,1988.0,,74846.0,123614.0,289143.0,412180.0,504212.0,1299566,The Alchemist
Lois Lowry,4.12,36.0,,False,3636,,,eng,0,1993.0,,26497.0,59652.0,225326.0,448691.0,585279.0,1296825,"The Giver (The Giver, #1)"
C.S. Lewis,4.19,37.0,,False,100915,,,eng,0,1950.0,,19309.0,55542.0,262038.0,513366.0,734629.0,1531800,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)"
Audrey Niffenegger,3.95,38.0,,False,14050,,,eng,0,2003.0,,44339.0,85429.0,257805.0,427210.0,493884.0,746287,The Time Traveler's Wife
George R.R. Martin,4.45,39.0,,False,13496,,,eng,0,1996.0,,19988.0,28983.0,114092.0,404583.0,874574.0,1319204,"A Game of Thrones (A Song of Ice and Fire, #1)"
Elizabeth Gilbert,3.51,40.0,,False,19501,,,eng,0,2006.0,,100373.0,149549.0,310212.0,332191.0,314272.0,1181647,"Eat, Pray, Love"
Rick Riordan,4.23,41.0,,False,28187,,,eng,0,2005.0,,18303.0,48294.0,219638.0,435514.0,689365.0,1366265,"The Lightning Thief (Percy Jackson and the Olympians, #1)"
Louisa May Alcott,4.04,42.0,,False,1934,,,en-US,0,1868.0,,31645.0,70011.0,250794.0,426280.0,535563.0,1257121,"Little Women (Little Women, #1)"
"Charlotte Brontë, Michael Mason",4.1,43.0,,False,10210,,,eng,0,1847.0,,35132.0,64274.0,212294.0,400214.0,574221.0,1198557,Jane Eyre
Nicholas Sparks,4.06,44.0,,False,15931,,,eng,0,1996.0,,41395.0,63432.0,176469.0,298259.0,497194.0,1053403,"The Notebook (The Notebook, #1)"
Yann Martel,3.88,45.0,,False,4214,,,,0,2001.0,,39768.0,74331.0,218702.0,384164.0,360466.0,1003228,Life of Pi
Sara Gruen,4.07,46.0,,False,43641,,,eng,0,2006.0,,16705.0,49832.0,200154.0,417328.0,424820.0,1068146,Water for Elephants
Markus Zusak,4.36,47.0,,False,19063,,,eng,0,2005.0,,17892.0,35360.0,135272.0,377218.0,722056.0,1159741,The Book Thief
Ray Bradbury,3.97,48.0,,False,4381,,,spa,0,1953.0,,28366.0,64289.0,238242.0,426292.0,419051.0,570498,Fahrenheit 451
Stephenie Meyer,3.52,49.0,,False,49041,,,eng,0,2006.0,,102837.0,160660.0,294207.0,290612.0,350684.0,1149630,"New Moon (Twilight, #2)"
Shel Silverstein,4.29,50.0,,False,30119,,,eng,0,1974.0,,16590.0,30792.0,139024.0,293222.0,544153.0,1016888,Where the Sidewalk Ends
Cassandra Clare,4.12,51.0,,False,256683,,,eng,0,2007.0,,34122.0,65349.0,203466.0,356048.0,582814.0,1154031,"City of Bones (The Mortal Instruments, #1)"
Stephenie Meyer,3.69,52.0,,False,428263,,,en-US,0,2007.0,,83094.0,124293.0,260763.0,309358.0,399134.0,1134511,"Eclipse (Twilight, #3)"
Christopher Paolini,3.86,53.0,,False,113436,,,en-US,0,2002.0,,50563.0,88536.0,240157.0,337943.0,408032.0,1104021,"Eragon (The Inheritance Cycle, #1)"
Douglas Adams,4.2,54.0,,False,11,,,en-US,0,1979.0,,21764.0,41962.0,145173.0,299579.0,498001.0,936782,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)"
Aldous Huxley,3.97,55.0,,False,5129,,,eng,0,1932.0,,26367.0,60328.0,219895.0,389379.0,383166.0,1022601,Brave New World
Stephenie Meyer,3.7,56.0,,False,1162543,,,en-US,0,2008.0,,100994.0,114893.0,213402.0,267706.0,410714.0,1070245,"Breaking Dawn (Twilight, #4)"
Sue Monk Kidd,4.01,57.0,,False,37435,,,en-US,0,2001.0,,17500.0,45455.0,185631.0,347540.0,341267.0,916189,The Secret Life of Bees
"Mark Twain, John Seelye, Guy Cardwell",3.8,58.0,,False,2956,,,eng,0,1884.0,,28467.0,76630.0,255722.0,344356.0,296316.0,953758,The Adventures of Huckleberry Finn
"E.B. White, Garth Williams, Rosemary Wells",4.15,59.0,,False,24178,,,eng,0,1952.0,,18450.0,41124.0,191415.0,346090.0,487763.0,1064521,Charlotte's Web
Mark Haddon,3.85,60.0,,False,1618,,,eng,0,2003.0,,21049.0,58117.0,218218.0,355925.0,262481.0,867553,The Curious Incident of the Dog in the Night-Time
Paula Hawkins,3.88,61.0,,False,22557272,,,eng,0,2015.0,,27773.0,73897.0,273817.0,488447.0,362551.0,1008778,The Girl on the Train
